contrast,left,right,estimand,component,tail,paired_birds,left_events,right_events,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_two_sided,phase_reps,bootstrap_reps,scale_m,holm_family,holm_phase_p,coverage_gate,primary_pass
post_minus_pre,post_only,pre_only,R_union,R,union,34,82,64,0.00787565094864076,-0.010114726354836704,0.026754657793073355,0.0017424820537170252,0.561,999,20000,1000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_high,L,high,34,82,64,0.12280312653353083,-0.035584785971445744,0.2820383188338829,-0.015237443317689925,0.126,999,20000,1000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_low,L,low,34,82,64,0.008814753792525158,-0.1245249468584887,0.14399309679933972,0.01215821273432008,0.956,999,20000,1000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_union,L,union,34,82,64,0.13161788032605595,-0.03300732751066037,0.293428280152168,-0.0030792305833698412,0.166,999,20000,1000,primary_post_minus_pre_L_union_4_scales,0.498,True,False
post_minus_none,post_only,none_observed,E_high,E,high,57,119,555,-0.022099742533609756,-0.1504104248771274,0.11106812816785998,-0.006183461718264792,0.784,999,20000,1000,diagnostic,,True,False
post_minus_none,post_only,none_observed,E_low,E,low,57,119,555,0.021685422671954713,-0.06393043972831086,0.11295110875914538,-0.01134309617665113,0.481,999,20000,1000,diagnostic,,True,False
post_minus_none,post_only,none_observed,E_union,E,union,57,119,555,-0.0004143198616550497,-0.12858829925282197,0.12509271217156942,-0.017526557894915928,0.788,999,20000,1000,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_high,R,high,57,119,555,-0.005228932784820307,-0.020003312200226518,0.008593812189971996,-0.0018264438434944356,0.594,999,20000,1000,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_low,R,low,57,119,555,-0.007933831636438984,-0.0176139119423306,0.0008853858282952358,-0.0015533262699942896,0.062,999,20000,1000,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_union,R,union,57,119,555,-0.013162764421259287,-0.026609021236936863,-0.00013019350080778355,-0.003379770113488723,0.134,999,20000,1000,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_high,L,high,57,119,555,-0.01687080974878944,-0.14198962947913876,0.1144826326970794,-0.004357017874770352,0.807,999,20000,1000,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_low,L,low,57,119,555,0.029619254308393666,-0.055218653185652423,0.11997638045331359,-0.009789769906656844,0.391,999,20000,1000,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_union,L,union,57,119,555,0.012748444559604253,-0.11260957162315682,0.1362497791941583,-0.0141467877814272,0.665,999,20000,1000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,E_high,E,high,50,84,537,-0.07593644199642058,-0.19894840777477935,0.05087446792545332,0.0019765947120565343,0.232,999,20000,1000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,E_low,E,low,50,84,537,0.029307387077041967,-0.06874812455265156,0.13346457701607264,-0.014836145725755994,0.362,999,20000,1000,diagnostic,,True,False
