segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median
WA_Centurion20182019CRO21811_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21811_GPSdata_RS.xlsx,126,126,True,1.716848885280342e-12,1,0,True,17.047806369646196,17.04780636964631,1.1368683772161603e-13,1,9.5
WA_Centurion20182019CRO21821_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21821_GPSdata_RS.xlsx,423,423,True,2.045141833662001e-12,4,2,True,424.5252051845514,424.52520518453684,1.4551915228366852e-11,1,9.0
WA_Centurion20182019CRO21831_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21831_GPSdata_RS.xlsx,169,169,True,1.5025758415276869e-12,3,2,True,103.64570853575992,103.64570853575992,0.0,1,14.0
WA_Centurion20182019CRO22011_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22011_GPSdata_RS.xlsx,239,239,True,1.4093171074591737e-12,2,2,True,456.2113983752852,456.21139837528244,2.7853275241795927e-12,1,15.0
WA_Centurion20182019CRO22111_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22111_GPSdata_RS.xlsx,156,156,True,1.4210854715202004e-12,0,0,True,165.5014028278733,165.50140282785696,1.6342482922482304e-11,1,14.5
WA_Centurion20182019CRO22121_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22121_GPSdata_RS.xlsx,266,266,True,1.5762946503627973e-12,2,1,True,357.4217457192774,357.42174571927717,2.2737367544323206e-13,1,10.0
WA_Centurion20182019CRO22311_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22311_GPSdata_RS.xlsx,185,185,True,1.91446858366362e-12,0,0,True,319.02641596069,319.02641596069,0.0,1,10.0
WA_Centurion20182019CRO22321_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22321_GPSdata_RS.xlsx,300,300,True,1.283417816466681e-12,3,2,True,366.9661236179932,366.96612361804546,5.2239101933082566e-11,1,7.5
WA_XGPS20152016CRO10011_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10011_GPSdata_RS.xlsx,49,49,True,9.89319737243477e-13,0,0,True,76.9226999843844,76.9226999843844,0.0,1,4.0
WA_XGPS20152016CRO10311_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10311_GPSdata_RS.xlsx,189,189,True,1.1510792319313623e-12,1,1,True,338.7455362395583,338.7455362395583,0.0,1,5.0
WA_XGPS20152016CRO10321_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10321_GPSdata_RS.xlsx,127,127,True,1.304734098539484e-12,0,0,True,21.879974549402505,21.879974549402505,0.0,1,10.0
WA_XGPS20152016CRO10331_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10331_GPSdata_RS.xlsx,245,245,True,1.3073986337985843e-12,4,4,True,139.60459424558553,139.60459424558553,0.0,1,5.0
