scale_m,behavior_class,estimand,component,tail,events,birds,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,holm_family,holm_phase_p,coverage_gate,primary_pass
500,dive_near,E_low,E,low,366,86,0.09808994663276588,0.04342669293619181,0.1558867685720656,0.059120910124367446,0.072,999,5000,descriptive,,True,False
500,dive_near,E_union,E,union,366,86,0.14521135492108667,0.07758858557044868,0.21271702150014207,0.13005713421161338,0.323,999,5000,descriptive,,True,False
500,dive_near,R_high,R,high,366,86,-0.0023282621003191217,-0.010948928257404587,0.005827659591962186,-0.0019561982619701805,0.537,999,5000,descriptive,,True,False
500,dive_near,R_low,R,low,366,86,-0.0010606676799991583,-0.0055598866769382355,0.003085778630751671,-0.0012490127197000967,0.482,999,5000,descriptive,,True,False
500,dive_near,R_union,R,union,366,86,-0.0033889297803182815,-0.012623011679601018,0.005760831402402516,-0.003205210981670278,0.526,999,5000,descriptive,,True,False
500,dive_near,L_high,L,high,366,86,0.04944967038863991,-0.013482503413051822,0.11414440478459502,0.07289242234921617,0.763,999,5000,secondary_dive_L_sides_8,1.0,True,False
500,dive_near,L_low,L,low,366,86,0.09915061431276503,0.04560051609467185,0.15649261967071318,0.06036992284406754,0.065,999,5000,secondary_dive_L_sides_8,0.39,True,False
500,dive_near,L_union,L,union,366,86,0.14860028470140493,0.08083045275792736,0.21658558979748183,0.13326234519328367,0.313,999,5000,primary_dive_L_union_4_scales,0.32,True,False
500,wet_only_near,E_high,E,high,613,89,0.14938583157017082,0.08997276116620855,0.20890461618662667,0.07046399871496395,0.001,999,5000,descriptive,,True,False
500,wet_only_near,E_low,E,low,613,89,0.08188581010810524,0.04097629739220729,0.1248784026539112,0.05771612767883477,0.087,999,5000,descriptive,,True,False
500,wet_only_near,E_union,E,union,613,89,0.23127164167827619,0.17915057108294608,0.2824415757370745,0.1281801263937987,0.001,999,5000,descriptive,,True,False
500,wet_only_near,R_high,R,high,613,89,0.001108890201729912,-0.01072835244531284,0.011994594613636975,-0.00010811248618286317,0.364,999,5000,descriptive,,True,False
500,wet_only_near,R_low,R,low,613,89,0.003446930787335821,-0.002169044538527304,0.008958245007545775,0.0007310583386101428,0.153,999,5000,descriptive,,True,False
500,wet_only_near,R_union,R,union,613,89,0.004555820989065731,-0.00528279595520076,0.013671636306068715,0.0006229458524272781,0.114,999,5000,descriptive,,True,False
500,wet_only_near,L_high,L,high,613,89,0.14827694136844097,0.0918781374338288,0.20544336515191045,0.07057211120114681,0.001,999,5000,descriptive,,True,False
500,wet_only_near,L_low,L,low,613,89,0.07843887932076943,0.03914444643587553,0.11954851546847174,0.05698506934022463,0.124,999,5000,descriptive,,True,False
500,wet_only_near,L_union,L,union,613,89,0.22671582068921023,0.17458549283108182,0.2795640290327153,0.1275571805413714,0.001,999,5000,descriptive,,True,False
500,no_tdr_near,E_high,E,high,573,100,0.13422473587386458,0.07942918305267176,0.19157679235728664,0.07295914261955895,0.016,999,5000,descriptive,,True,False
500,no_tdr_near,E_low,E,low,573,100,0.10729311808382201,0.056882324441467756,0.16043265471556634,0.06358827140706302,0.026,999,5000,descriptive,,True,False
500,no_tdr_near,E_union,E,union,573,100,0.2415178539576866,0.18946637029093552,0.2932243321142042,0.136547414026622,0.002,999,5000,descriptive,,True,False
500,no_tdr_near,R_high,R,high,573,100,-0.0016701971469893105,-0.013476132679160365,0.010529403928648042,8.374325859171323e-05,0.649,999,5000,descriptive,,True,False
500,no_tdr_near,R_low,R,low,573,100,0.012256272803653491,0.0024934671649869955,0.023112523909939824,0.0003639061949495584,0.001,999,5000,descriptive,,True,False
500,no_tdr_near,R_union,R,union,573,100,0.010586075656664178,-0.0006667256595263316,0.02229907469733373,0.0004476494535412708,0.015,999,5000,descriptive,,True,False
500,no_tdr_near,L_high,L,high,573,100,0.13589493302085393,0.08285803371182819,0.19112995961562126,0.07287539936096725,0.012,999,5000,descriptive,,True,False
500,no_tdr_near,L_low,L,low,573,100,0.09503684528016859,0.047471168824689325,0.14550536357484503,0.06322436521211347,0.066,999,5000,descriptive,,True,False
500,no_tdr_near,L_union,L,union,573,100,0.2309317783010225,0.17903726370739106,0.28481880890370437,0.13609976457308073,0.002,999,5000,descriptive,,True,False
1000,dive_near,E_high,E,high,247,78,0.06761987446164448,-0.009418352585392243,0.14725132470633506,0.07274976681347911,0.542,999,5000,descriptive,,True,False
1000,dive_near,E_low,E,low,247,78,0.14859849373157824,0.0812174026309033,0.21804473695982962,0.05895794515489757,0.003,999,5000,descriptive,,True,False
1000,dive_near,E_union,E,union,247,78,0.21621836819322277,0.13815806764701788,0.2910170925398711,0.13170771196837666,0.017,999,5000,descriptive,,True,False
1000,dive_near,R_high,R,high,247,78,-0.0064380794140447796,-0.019708488863562627,0.00416799348689657,-0.0021697676101428702,0.785,999,5000,descriptive,,True,False
