scale_m,contrast,left,right,estimand,component,tail,paired_birds,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,holm_family,holm_phase_p,coverage_gate,primary_pass
1000,dive_minus_no_tdr,dive_near,no_tdr_near,E_high,E,high,68,-0.1394635592390894,-0.25733230561238524,-0.015229220920836912,-0.003361649919120818,0.992,999,5000,descriptive,,True,False
1000,dive_minus_no_tdr,dive_near,no_tdr_near,E_low,E,low,68,0.05871202163062852,-0.04081916594355437,0.1613995421579764,-0.01299972435857356,0.05,999,5000,descriptive,,True,False
1000,dive_minus_no_tdr,dive_near,no_tdr_near,E_union,E,union,68,-0.08075153760846088,-0.1802457694409862,0.02212690901392876,-0.016361374277694386,0.882,999,5000,descriptive,,True,False
1000,dive_minus_no_tdr,dive_near,no_tdr_near,R_high,R,high,68,-0.009733110168868206,-0.027683403539241636,0.00746888566408395,-0.002315780070540746,0.814,999,5000,descriptive,,True,False
1000,dive_minus_no_tdr,dive_near,no_tdr_near,R_low,R,low,68,-0.012787972084287712,-0.025418300774336218,-0.001708147089378516,-0.002499426270206517,0.982,999,5000,descriptive,,True,False
1000,dive_minus_no_tdr,dive_near,no_tdr_near,R_union,R,union,68,-0.022521082253155914,-0.0439049169222009,-0.0035395126625964684,-0.0048152063407472636,0.983,999,5000,descriptive,,True,False
1000,dive_minus_no_tdr,dive_near,no_tdr_near,L_high,L,high,68,-0.12973044907022116,-0.2486832538711469,-0.004869308316116451,-0.0010458698485800784,0.99,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
1000,dive_minus_no_tdr,dive_near,no_tdr_near,L_low,L,low,68,0.07149999371491622,-0.02329055261946827,0.17005836496219098,-0.010500298088367043,0.029,999,5000,secondary_dive_minus_no_tdr_L_all_12,0.319,True,False
1000,dive_minus_no_tdr,dive_near,no_tdr_near,L_union,L,union,68,-0.05823045535530496,-0.15663493370452275,0.041219805650567,-0.011546167936947118,0.796,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
2000,dive_minus_wet,dive_near,wet_only_near,E_high,E,high,61,-0.01774706464552242,-0.13931882131281295,0.10489850915943663,-0.0004877943734041193,0.603,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
2000,dive_minus_wet,dive_near,wet_only_near,E_low,E,low,61,0.08809686345940702,-0.017706032287994326,0.19129107429858963,-0.0012445340486917852,0.049,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
2000,dive_minus_wet,dive_near,wet_only_near,E_union,E,union,61,0.07034979881388456,-0.049973413768863835,0.19586137997566289,-0.0017323284220959166,0.121,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
2000,dive_minus_wet,dive_near,wet_only_near,R_high,R,high,61,-0.024679773303117353,-0.04291355930191095,-0.008659338143773666,-0.0031720974888148745,0.991,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
2000,dive_minus_wet,dive_near,wet_only_near,R_low,R,low,61,-0.002940745010812717,-0.015723185840675998,0.00830963760935534,-0.0011432938492104332,0.616,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
2000,dive_minus_wet,dive_near,wet_only_near,R_union,R,union,61,-0.02762051831393006,-0.04813975751209171,-0.009701937828423312,-0.0043153913380253065,0.991,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
2000,dive_minus_wet,dive_near,wet_only_near,L_high,L,high,61,0.0069327086575949335,-0.11420141381733696,0.12932137540953803,0.0026843031154107455,0.482,999,5000,secondary_dive_minus_wet_L_sides_8,1.0,True,False
