property,segments,total_segments,percent_segments,figure,panel,record_type,replicate,rho_chl_support,rho_chl_median_log_length
,,,,Supplementary Figure 5,b-d,eligible-record replacement,101,-0.1537063953488372,-0.1077426207513417
,,,,Supplementary Figure 5,b-d,eligible-record replacement,102,-0.1526945438282647,-0.0944152504472272
,,,,Supplementary Figure 5,b-d,eligible-record replacement,103,-0.1382099731663685,-0.1222998658318426
,,,,Supplementary Figure 5,b-d,eligible-record replacement,104,-0.1454830053667263,-0.1156641323792486
,,,,Supplementary Figure 5,b-d,eligible-record replacement,105,-0.1432524597495528,-0.1135677549194991
,,,,Supplementary Figure 5,b-d,eligible-record replacement,106,-0.1609402951699463,-0.0781697227191413
,,,,Supplementary Figure 5,b-d,eligible-record replacement,107,-0.1408150715563506,-0.1023758944543828
,,,,Supplementary Figure 5,b-d,eligible-record replacement,108,-0.1382938282647585,-0.1150044722719141
,,,,Supplementary Figure 5,b-d,eligible-record replacement,109,-0.1325749105545617,-0.1213383273703041
,,,,Supplementary Figure 5,b-d,eligible-record replacement,110,-0.1381261180679785,-0.1350458407871199
,,,,Supplementary Figure 5,b-d,eligible-record replacement,111,-0.1632435152057245,-0.0974619856887299
,,,,Supplementary Figure 5,b-d,eligible-record replacement,112,-0.1605601520572451,-0.1071947674418604
,,,,Supplementary Figure 5,b-d,eligible-record replacement,113,-0.1540082737030411,-0.0870583631484794
,,,,Supplementary Figure 5,b-d,eligible-record replacement,114,-0.1417822003577817,-0.1079885957066189
,,,,Supplementary Figure 5,b-d,eligible-record replacement,115,-0.146992397137746,-0.1080500894454383
,,,,Supplementary Figure 5,b-d,eligible-record replacement,116,-0.1367788461538461,-0.1373881932021467
,,,,Supplementary Figure 5,b-d,eligible-record replacement,117,-0.1509950805008944,-0.0976241055456171
,,,,Supplementary Figure 5,b-d,eligible-record replacement,118,-0.1344868067978533,-0.1327817531305903
,,,,Supplementary Figure 5,b-d,eligible-record replacement,119,-0.1474619856887299,-0.0884112254025044
,,,,Supplementary Figure 5,b-d,eligible-record replacement,120,-0.137298747763864,-0.0958687388193202
,,,,Supplementary Figure 5,b-d,eligible-record replacement,121,-0.1567531305903399,-0.1089110017889087
,,,,Supplementary Figure 5,b-d,eligible-record replacement,122,-0.1602135509838998,-0.0896578711985688
,,,,Supplementary Figure 5,b-d,eligible-record replacement,123,-0.1272137745974955,-0.1033821556350626
,,,,Supplementary Figure 5,b-d,eligible-record replacement,124,-0.1329494633273703,-0.1022193649373882
,,,,Supplementary Figure 5,b-d,eligible-record replacement,125,-0.1378969141323792,-0.1243571109123434
,,,,Supplementary Figure 5,b-d,eligible-record replacement,126,-0.1470371198568873,-0.0896914132379248
,,,,Supplementary Figure 5,b-d,eligible-record replacement,127,-0.1535834078711986,-0.1003801431127012
,,,,Supplementary Figure 5,b-d,eligible-record replacement,128,-0.1538070214669052,-0.109307915921288
,,,,Supplementary Figure 5,b-d,eligible-record replacement,129,-0.1574575134168157,-0.1086091234347048
,,,,Supplementary Figure 5,b-d,eligible-record replacement,130,-0.1408038908765653,-0.1223893112701252
,,,,Supplementary Figure 5,b-d,eligible-record replacement,131,-0.1219141323792486,-0.1334134615384615
,,,,Supplementary Figure 5,b-d,eligible-record replacement,132,-0.135996198568873,-0.0746254472271914
,,,,Supplementary Figure 5,b-d,eligible-record replacement,133,-0.1417095259391771,-0.1258329606440071
,,,,Supplementary Figure 5,b-d,eligible-record replacement,134,-0.1280467352415027,-0.1096992397137746
,,,,Supplementary Figure 5,b-d,eligible-record replacement,135,-0.1539803220035778,-0.099681350626118
,,,,Supplementary Figure 5,b-d,eligible-record replacement,136,-0.132804114490161,-0.1095650715563506
