dataset,scale_m,family,estimand,events,units,segments,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,rho_tau_distinct_cell_fraction,holm_phase_p,positive_support
goto,100,B,tau_union,11593,149,211,0.1734586192377259,0.1582824038597217,0.1895254615143941,0.1871153837695072,0.976,999,5000,0.3046666091607004,1.0,False
goto,100,B,C_high,11593,149,211,0.0171116365701193,0.0109054907024247,0.0234899615566553,-0.0240508250919499,0.001,999,5000,0.3046666091607004,0.009,True
goto,100,B,C_low,11593,149,211,0.0112141781928127,0.006064464190879,0.0169175070940527,-0.0233544710035399,0.001,999,5000,0.3046666091607004,0.009,True
goto,100,B,C_union,11593,149,211,0.0283258147629321,0.0198016925717184,0.0369892536900499,-0.0474052960954898,0.001,999,5000,0.3046666091607004,0.009,True
rfbo,250,B,rho_high,2525,110,165,0.05144241808,0.02726315945075,0.0755763410302456,0.0184229490881491,0.001,999,5000,0.3825742574257426,0.036,True
rfbo,250,B,rho_low,2525,110,165,0.0726385200066125,0.0564964780482008,0.0889154707512033,0.0454350699171599,0.001,999,5000,0.3825742574257426,0.036,True
rfbo,250,B,rho_union,2525,110,165,0.1240809380866125,0.0963883688436576,0.1508962320809951,0.063858019005309,0.001,999,5000,0.3825742574257426,0.036,True
rfbo,250,B,tau_high,2525,110,165,0.0445620203878691,0.0183318859541205,0.0727413632735418,0.05207866967234,0.771,999,5000,0.3825742574257426,1.0,False
rfbo,250,B,tau_low,2525,110,165,0.064235546714235,0.0483262065667151,0.0800922746114695,0.0661551918982193,0.58,999,5000,0.3825742574257426,1.0,False
rfbo,250,B,tau_union,2525,110,165,0.1087975671021041,0.0790180283299423,0.139379451685131,0.1182338615705593,0.773,999,5000,0.3825742574257426,1.0,False
rfbo,250,B,C_high,2525,110,165,0.0068803976921308,-0.0198735802021639,0.0295819066610564,-0.0336557205841908,0.001,999,5000,0.3825742574257426,0.036,False
rfbo,250,B,C_low,2525,110,165,0.0084029732923775,-0.0029762674021464,0.0195965504363415,-0.0207201219810594,0.001,999,5000,0.3825742574257426,0.036,False
rfbo,250,B,C_union,2525,110,165,0.0152833709845083,-0.0104414629947846,0.0383777781375399,-0.0543758425652502,0.001,999,5000,0.3825742574257426,0.036,False
rfbo,500,B,rho_high,2054,110,159,0.0409867162965026,0.0149742802857128,0.0650139372269236,0.017062824497501,0.034,999,5000,0.443524829600779,0.51,False
rfbo,500,B,rho_low,2054,110,159,0.0958267839612366,0.0770435078517148,0.115494284147075,0.0449859030391091,0.001,999,5000,0.443524829600779,0.036,True
rfbo,500,B,rho_union,2054,110,159,0.1368135002577394,0.1087548957808858,0.1645993715648634,0.0620487275366101,0.001,999,5000,0.443524829600779,0.036,True
rfbo,500,B,tau_high,2054,110,159,0.0297842849952634,0.0026748874566863,0.0589335807406478,0.0483472165038057,0.948,999,5000,0.443524829600779,1.0,False
rfbo,500,B,tau_low,2054,110,159,0.0879996888387137,0.0684706668016456,0.1081345440319017,0.0738218051686908,0.063,999,5000,0.443524829600779,0.819,False
rfbo,500,B,tau_union,2054,110,159,0.1177839738339771,0.0871440646249378,0.1484927449455172,0.1221690216724965,0.631,999,5000,0.443524829600779,1.0,False
rfbo,500,B,C_high,2054,110,159,0.0112024313012392,-0.0152494940076415,0.0359544492371212,-0.0312843920063047,0.001,999,5000,0.443524829600779,0.036,False
rfbo,500,B,C_low,2054,110,159,0.007827095122523,-0.0104562979625914,0.02667919683378,-0.0288359021295817,0.001,999,5000,0.443524829600779,0.036,False
rfbo,500,B,C_union,2054,110,159,0.0190295264237622,-0.0084445831144908,0.0458669021170095,-0.0601202941358864,0.001,999,5000,0.443524829600779,0.036,False
rfbo,1000,B,rho_high,1536,109,154,0.0373630384562328,0.0127966123073653,0.0619143912349659,0.0160317998437334,0.058,999,5000,0.6048177083333334,0.812,False
rfbo,1000,B,rho_low,1536,109,154,0.1142625769296512,0.0908576794307554,0.1380541790379809,0.040861224616266,0.001,999,5000,0.6048177083333334,0.036,True
rfbo,1000,B,rho_union,1536,109,154,0.1516256153858841,0.1212310470630393,0.1821356021274482,0.0568930244599994,0.001,999,5000,0.6048177083333334,0.036,True
rfbo,1000,B,tau_high,1536,109,154,0.0292818728400808,-0.0031232785972545,0.0620308514774206,0.0516688070639728,0.97,999,5000,0.6048177083333334,1.0,False
rfbo,1000,B,tau_low,1536,109,154,0.0751664922018719,0.0496013362528505,0.1020987197532048,0.0790153212953817,0.63,999,5000,0.6048177083333334,1.0,False
rfbo,1000,B,tau_union,1536,109,154,0.1044483650419528,0.0669648466244215,0.1418739739236361,0.1306841283593546,0.955,999,5000,0.6048177083333334,1.0,False
rfbo,1000,B,C_high,1536,109,154,0.008081165616152,-0.0208813659774741,0.0367003816481687,-0.0356370072202394,0.002,999,5000,0.6048177083333334,0.036,False
rfbo,1000,B,C_low,1536,109,154,0.0390960847277792,0.0114713383107626,0.0662321079009101,-0.0381540966791157,0.001,999,5000,0.6048177083333334,0.036,True
rfbo,1000,B,C_union,1536,109,154,0.0471772503439312,0.0141684585277356,0.0808016554723547,-0.0737911038993552,0.001,999,5000,0.6048177083333334,0.036,True
rfbo,2000,B,rho_high,981,107,145,0.018855748466761,-0.0097100342135364,0.0492418152882496,0.0127261005518828,0.342,999,5000,0.7981651376146789,1.0,False
rfbo,2000,B,rho_low,981,107,145,0.1328994413605429,0.0989225624935971,0.1687282810130464,0.0362533666441695,0.001,999,5000,0.7981651376146789,0.036,True
rfbo,2000,B,rho_union,981,107,145,0.1517551898273039,0.1163524419274321,0.1891412452476988,0.0489794671960523,0.001,999,5000,0.7981651376146789,0.036,True
rfbo,2000,B,tau_high,981,107,145,-0.0104504007222764,-0.0440019481251424,0.0275617635061393,0.0464973537663427,0.999,999,5000,0.7981651376146789,1.0,False
rfbo,2000,B,tau_low,981,107,145,0.0867878692638287,0.0527525377460718,0.1223611590544413,0.088906459380778,0.569,999,5000,0.7981651376146789,1.0,False
rfbo,2000,B,tau_union,981,107,145,0.0763374685415522,0.0325722224036556,0.1236213412909554,0.1354038131471207,0.999,999,5000,0.7981651376146789,1.0,False
rfbo,2000,B,C_high,981,107,145,0.0293061491890374,-0.0110819148621729,0.0661940895743339,-0.0337712532144599,0.002,999,5000,0.7981651376146789,0.036,False
rfbo,2000,B,C_low,981,107,145,0.0461115720967142,0.0103518817787538,0.0846335436438731,-0.0526530927366085,0.001,999,5000,0.7981651376146789,0.036,True
rfbo,2000,B,C_union,981,107,145,0.0754177212857517,0.0286347283366466,0.1212554217440723,-0.0864243459510684,0.001,999,5000,0.7981651376146789,0.036,True
