scale_m,behavior_group,estimand,events,individuals,individual_equal_mean,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm
1000,forage_dominant,E_low,34,8,0.24333986973986793,0.06603500012133373,0.44312687573733145,0.034526453630651564,0.012,descriptive,
1000,forage_dominant,E_union,34,8,0.34555328389197376,0.20305174607793597,0.4925453432623766,0.0491408078374673,0.004,descriptive,
1000,forage_dominant,R_high,34,8,0.011166233736008776,-0.0014792830557339477,0.025289355981320268,-0.0018303171824715857,0.273,descriptive,
1000,forage_dominant,R_low,34,8,-0.0005886036954983942,-0.010111307203029534,0.008861451048951051,0.00034896761667770374,0.589,descriptive,
1000,forage_dominant,R_union,34,8,0.010577630040510379,-0.010914428659964373,0.03391935940902546,-0.0014813495657938853,0.3,descriptive,
1000,forage_dominant,L_high,34,8,0.09104718041609706,-0.03403097022941256,0.19596194455950447,0.016444671389287326,0.215,secondary_forage_dominant_L_tails_8,0.645
1000,forage_dominant,L_low,34,8,0.2439284734353663,0.06403612239210064,0.44380365886653955,0.034177486013973864,0.011,secondary_forage_dominant_L_tails_8,0.088
1000,forage_dominant,L_union,34,8,0.33497565385146344,0.18770882542233472,0.48487540364445847,0.050622157403261175,0.005,primary_forage_dominant_L_union_4_scales,0.015
1000,rest_dominant,E_high,35,8,-0.13880947921126494,-0.20283119658119658,-0.06885374050552621,0.029868093161743964,0.978,descriptive,
1000,rest_dominant,E_low,35,8,0.05714501272536988,-0.07402077089577089,0.1905156339196516,0.05995336054859865,0.469,descriptive,
1000,rest_dominant,E_union,35,8,-0.08166446648589507,-0.2613416097791098,0.09388416642880928,0.0898214537103426,0.944,descriptive,
1000,rest_dominant,R_high,35,8,-0.01895366799032213,-0.0746775076427332,0.020363036934347968,-0.004154352264210247,0.786,descriptive,
1000,rest_dominant,R_low,35,8,0.0048895151162538335,-0.012719411045303906,0.0215561817829205,-0.0022276077864267128,0.352,descriptive,
1000,rest_dominant,R_union,35,8,-0.014064152874068297,-0.05939423919334635,0.022695213490561233,-0.006381960050636955,0.634,descriptive,
1000,rest_dominant,L_high,35,8,-0.11985581122094281,-0.18977029914529916,-0.051155033060871914,0.03402244542595421,0.962,descriptive,
1000,rest_dominant,L_low,35,8,0.052255497609116026,-0.08860968618369934,0.19565064412926256,0.06218096833502535,0.501,descriptive,
1000,rest_dominant,L_union,35,8,-0.06760031361182675,-0.22922312062937059,0.09081314792663478,0.09620341376097954,0.938,descriptive,
2000,forage_dominant,E_high,32,8,0.0961150964763311,-0.040173441374706756,0.22467656602403524,0.009021355389534452,0.173,descriptive,
2000,forage_dominant,E_low,32,8,0.2213035406605858,0.02976657476700227,0.4349142952694912,0.03457777794421852,0.022,descriptive,
2000,forage_dominant,E_union,32,8,0.3174186371369169,0.1456123196656285,0.48808879788701953,0.043599133333752954,0.006,descriptive,
2000,forage_dominant,R_high,32,8,0.027533073401167764,0.011460080144937228,0.045442468071144534,-0.0017378591607539553,0.018,descriptive,
