event_id,scale_m,run_key,individual,status,support_points,native_cell_runs,record_cell_runs,maximum_nearest_grid_distance_deg
500|6:H001:P000|8|111|135,500,6:H001:P000,6,ok,25,6,5,0.02407684872548594
500|6:H001:P000|9|135|165,500,6:H001:P000,6,ok,31,13,12,0.0260447524903979
1000|6:H001:P000|1|0|52,1000,6:H001:P000,6,ok,53,10,10,0.025436173418775944
1000|6:H001:P000|2|52|59,1000,6:H001:P000,6,ok,8,4,3,0.023096613268441674
1000|6:H001:P000|5|109|111,1000,6:H001:P000,6,ok,3,3,2,0.01867724818494497
1000|6:H001:P000|6|111|135,1000,6:H001:P000,6,ok,25,6,5,0.02407684872548594
1000|6:H001:P000|7|135|165,1000,6:H001:P000,6,ok,31,13,12,0.0260447524903979
2000|6:H001:P000|1|0|52,2000,6:H001:P000,6,ok,53,10,10,0.025436173418775944
2000|6:H001:P000|2|52|59,2000,6:H001:P000,6,ok,8,4,3,0.023096613268441674
2000|6:H001:P000|5|109|116,2000,6:H001:P000,6,ok,8,4,3,0.01867724818494497
2000|6:H001:P000|6|116|135,2000,6:H001:P000,6,ok,20,5,5,0.02407684872548594
5000|6:H001:P000|1|0|135,5000,6:H001:P000,6,ok,136,21,17,0.025436173418775944
500|7-(A):H001:P000|1|0|144,500,7-(A):H001:P000,7,ok,145,43,41,0.02626249092774613
1000|7-(A):H001:P000|1|0|144,1000,7-(A):H001:P000,7,ok,145,43,41,0.02626249092774613
2000|7-(A):H001:P000|1|0|144,2000,7-(A):H001:P000,7,ok,145,43,41,0.02626249092774613
5000|7-(A):H001:P000|1|0|144,5000,7-(A):H001:P000,7,ok,145,43,41,0.02626249092774613
500|7-(B):H001:P000|1|0|30,500,7-(B):H001:P000,7,ok,31,16,15,0.024985894383079067
500|7-(B):H001:P000|2|30|41,500,7-(B):H001:P000,7,ok,12,5,5,0.022093129563313434
500|7-(B):H001:P000|3|41|69,500,7-(B):H001:P000,7,ok,29,6,6,0.02068887218873768
500|7-(B):H001:P000|4|69|73,500,7-(B):H001:P000,7,ok,5,4,4,0.02154275148099961
500|7-(B):H001:P000|5|73|91,500,7-(B):H001:P000,7,ok,19,5,4,0.019430317722835284
500|7-(B):H001:P000|6|91|99,500,7-(B):H001:P000,7,ok,9,6,6,0.020944354111168337
500|7-(B):H001:P000|7|99|115,500,7-(B):H001:P000,7,ok,17,10,8,0.022190426681403124
500|7-(B):H001:P000|8|115|137,500,7-(B):H001:P000,7,ok,23,9,9,0.02257465977785444
500|7-(B):H001:P000|11|148|158,500,7-(B):H001:P000,7,ok,11,3,3,0.02187527761937225
500|7-(B):H001:P000|13|160|175,500,7-(B):H001:P000,7,ok,16,9,9,0.02373198549314642
1000|7-(B):H001:P000|1|0|30,1000,7-(B):H001:P000,7,ok,31,16,15,0.024985894383079067
1000|7-(B):H001:P000|2|30|47,1000,7-(B):H001:P000,7,ok,18,7,6,0.022093129563313434
1000|7-(B):H001:P000|4|51|68,1000,7-(B):H001:P000,7,ok,18,4,4,0.02068887218873768
1000|7-(B):H001:P000|5|68|73,1000,7-(B):H001:P000,7,ok,6,4,4,0.02154275148099961
1000|7-(B):H001:P000|6|73|91,1000,7-(B):H001:P000,7,ok,19,5,4,0.019430317722835284
