scale_m,predictor,estimand,events,individuals,individual_equal_slope,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm
1000,prior_specificity,E_low,70,7,0.11453678628082363,-0.12491441810032934,0.3204145076219141,0.022377203951030246,0.213,descriptive,
1000,prior_specificity,E_union,70,7,0.5439117363780801,0.25810656987287306,0.8495023126947897,0.02315323365268858,0.001,descriptive,
1000,prior_specificity,R_high,70,7,0.014276380344525474,-0.013930317192643649,0.052439536329411784,-5.1472087830940964e-05,0.321,descriptive,
1000,prior_specificity,R_low,70,7,0.012805272314686793,-0.0032770295468617957,0.02469547898609164,0.0001985339613897786,0.157,descriptive,
1000,prior_specificity,R_union,70,7,0.027081652659212255,0.00524282575102566,0.05316701038721956,0.00014706187355883026,0.207,descriptive,
1000,prior_specificity,L_high,70,7,0.415098569752731,0.1783393926167864,0.6602731944228525,0.000827501789489264,0.001,descriptive,
1000,prior_specificity,L_low,70,7,0.10173151396613685,-0.14200742628678403,0.3101450565741017,0.02217866998964047,0.248,descriptive,
1000,prior_specificity,L_union,70,7,0.5168300837188678,0.23739428063629603,0.8176171081764609,0.023006171779129742,0.002,descriptive,
1000,prior_forage,E_high,70,7,0.34573573091587656,-0.19902373608294358,0.9454320881449664,0.03334073978134332,0.227,descriptive,
1000,prior_forage,E_low,70,7,0.25694158813305457,-0.881371423671909,1.2093762377827026,-0.024770404097453735,0.213,descriptive,
1000,prior_forage,E_union,70,7,0.6026773190489312,-0.02724168700729601,1.207747802107667,0.008570335683889619,0.089,descriptive,
1000,prior_forage,R_high,70,7,0.001885530730092762,-0.09313733723365335,0.08192291650725107,-0.0028794321292470214,0.462,descriptive,
1000,prior_forage,R_low,70,7,0.0038161778050600273,-0.030303650165108106,0.03243860215032228,0.000944315132529178,0.45,descriptive,
1000,prior_forage,R_union,70,7,0.005701708535152783,-0.07967193875210178,0.08652368298703071,-0.001935116996717859,0.443,descriptive,
1000,prior_forage,L_high,70,7,0.34385020018578377,-0.22192079449083585,0.9449178477587842,0.036220171910590356,0.229,descriptive,
1000,prior_forage,L_low,70,7,0.25312541032799457,-0.8550393281030467,1.2016825803977156,-0.025714719229982905,0.214,descriptive,
1000,prior_forage,L_union,70,7,0.5969756105137785,-0.016905723725166213,1.2306573546578659,0.010505452680607485,0.101,descriptive,
1000,prior_rest,E_high,70,7,-0.6545603674957589,-1.0095820403203242,-0.3500124986053298,0.020714843394635123,0.996,descriptive,
1000,prior_rest,E_low,70,7,0.09780872211846645,-0.3362685057569318,0.8076094871379844,-0.02087155683439991,0.291,descriptive,
1000,prior_rest,E_union,70,7,-0.5567516453772924,-0.8409957370604233,-0.15753794547551422,-0.00015671343976478993,0.98,descriptive,
1000,prior_rest,R_high,70,7,-0.045991166459034935,-0.11078613084547355,0.004375510151441005,-0.0039488921269627605,0.757,descriptive,
1000,prior_rest,R_low,70,7,-0.008497029438214771,-0.03547291343103631,0.031013927027580362,-8.23211819027721e-06,0.627,descriptive,
1000,prior_rest,R_union,70,7,-0.054488195897249694,-0.0949962339120565,-0.019512322714183877,-0.003957124245153028,0.793,descriptive,
1000,prior_rest,L_high,70,7,-0.6085692010367237,-0.98199282465921,-0.28568308405233794,0.024663735521597892,0.993,descriptive,
1000,prior_rest,L_low,70,7,0.1063057515566812,-0.33127799626396065,0.8229949008052097,-0.020863324716209643,0.276,descriptive,
1000,prior_rest,L_union,70,7,-0.5022634494800425,-0.8036998992986469,-0.10918909472476242,0.0038004108053882536,0.972,descriptive,
1000,future_minus_prior_specificity,E_high,70,7,-0.6997462849497496,-1.4921850005287858,-0.056614592876247094,0.017201736504184533,0.995,descriptive,
1000,future_minus_prior_specificity,E_low,70,7,-0.14904674037636542,-0.4295679255061275,0.2214720985477757,-0.023014731958039047,0.678,descriptive,
1000,future_minus_prior_specificity,E_union,70,7,-0.8487930253261148,-1.7560580153253702,-0.25371979912840986,-0.005812995453854498,0.993,descriptive,
1000,future_minus_prior_specificity,R_high,70,7,-0.06320424185856438,-0.24166377858808005,0.13064595393446987,-0.0004063777641466074,0.753,descriptive,
1000,future_minus_prior_specificity,R_low,70,7,0.03227680861207212,0.0010638158730224853,0.06200388210352048,-0.002352807050134993,0.154,descriptive,
1000,future_minus_prior_specificity,R_union,70,7,-0.030927433246492237,-0.2021229088960149,0.1770768109853225,-0.002759184814281599,0.604,descriptive,
1000,future_minus_prior_specificity,L_high,70,7,-0.636542043091185,-1.5547876863684233,0.04797275662677606,0.017608114268331147,0.996,descriptive,
1000,future_minus_prior_specificity,L_low,70,7,-0.18132354898843756,-0.4778293907115534,0.18221286108527238,-0.020661924907904052,0.744,descriptive,
1000,future_minus_prior_specificity,L_union,70,7,-0.8178655920796227,-1.905595497981709,-0.14271184231725537,-0.003053810639572911,0.992,descriptive,
2000,future_specificity,E_high,62,7,0.14218053624403132,-0.002810644553447824,0.26490938978908984,-0.00187474776955146,0.204,descriptive,
2000,future_specificity,E_low,62,7,-0.038987114512847,-0.2762081902173807,0.20510354642880174,0.007503860927407795,0.605,descriptive,
2000,future_specificity,E_union,62,7,0.10319342173118431,-0.22069195983387485,0.3613134916732162,0.005629113157856337,0.313,secondary_future_specificity_E_R_union_8,0.897
2000,future_specificity,R_high,62,7,0.035384749845216404,-0.02282414995966248,0.12038980979433375,-0.002111144849086331,0.197,descriptive,
2000,future_specificity,R_low,62,7,-0.029999485272894814,-0.09525103177157117,0.015542318473965632,0.003914829443495403,0.808,descriptive,
2000,future_specificity,R_union,62,7,0.005385264572321621,-0.028956703848158964,0.03622208558560335,0.001803684594409078,0.474,secondary_future_specificity_E_R_union_8,0.897
2000,future_specificity,L_high,62,7,0.1067957863988149,-0.04850944335675737,0.25383590162580194,0.0002363970795348746,0.257,secondary_future_specificity_L_tails_8,1.0
2000,future_specificity,L_low,62,7,-0.008987629239952194,-0.2530132919598567,0.24044025988880943,0.003589031483912394,0.526,secondary_future_specificity_L_tails_8,1.0
2000,future_specificity,L_union,62,7,0.0978081571588627,-0.22986639743803555,0.36653605370669873,0.003825428563447262,0.313,primary_future_specificity_L_union_4_scales,0.626
2000,future_forage,E_high,62,7,1.0864079220709806,-0.09769737067971263,3.1765011177261866,0.038118245597055074,0.126,descriptive,
2000,future_forage,E_low,62,7,-0.2630824133084831,-1.3831362097241044,0.6665205597851362,0.08748990997374555,0.586,descriptive,
2000,future_forage,E_union,62,7,0.8233255087624974,-0.21227339442891954,2.0234768100856195,0.12560815557080068,0.215,descriptive,
2000,future_forage,R_high,62,7,0.03814694302456867,-0.026428401173381265,0.12462084942389043,0.0030927634407663294,0.275,descriptive,
2000,future_forage,R_low,62,7,0.018061821027979534,-0.07913555427868575,0.11331534257450386,0.0017304761701081525,0.361,descriptive,
2000,future_forage,R_union,62,7,0.05620876405254822,-0.0013971159644345723,0.12594763688462343,0.0048232396108744795,0.193,descriptive,
2000,future_forage,L_high,62,7,1.0482609790464117,-0.13476342429444946,3.1534933984643447,0.03502548215628872,0.135,descriptive,
2000,future_forage,L_low,62,7,-0.28114423433646274,-1.4817989908148843,0.6847769431998335,0.08575943380363742,0.59,descriptive,
2000,future_forage,L_union,62,7,0.7671167447099493,-0.2644096756760097,1.912487366463499,0.12078491595992621,0.236,descriptive,
2000,future_rest,E_high,62,7,-2.724840804526614,-7.921592499771716,0.03657452141214655,-0.4706328204382551,0.8,descriptive,
2000,future_rest,E_low,62,7,-3.117386888033109,-9.942652061225465,0.5699017297809574,0.3806315586964107,0.889,descriptive,
2000,future_rest,E_union,62,7,-5.842227692559722,-17.86299231555715,0.6155864135533297,-0.09000126174184452,0.926,descriptive,
2000,future_rest,R_high,62,7,-0.3239908649124816,-0.9752455286820451,0.02884657594572341,-0.06320401455374644,0.738,descriptive,
2000,future_rest,R_low,62,7,-0.28497233125938043,-0.8517082466929152,0.016227956483515046,0.004531270824470043,0.879,descriptive,
2000,future_rest,R_union,62,7,-0.6089631961718621,-1.8205995698940411,0.028027190311895104,-0.05867274372927645,0.913,descriptive,
2000,future_rest,L_high,62,7,-2.4008499396141323,-6.960739206904921,0.054455388959619856,-0.4074288058845088,0.748,descriptive,
2000,future_rest,L_low,62,7,-2.8324145567737284,-9.109329344198255,0.5637205341973242,0.3761002878719407,0.857,descriptive,
2000,future_rest,L_union,62,7,-5.233264496387861,-16.085966573248896,0.6371191265062609,-0.031328518012567974,0.909,descriptive,
2000,prior_specificity,E_high,62,7,0.3517539022596541,0.1552262407584399,0.5629605014120498,-0.011363582120080632,0.025,descriptive,
2000,prior_specificity,E_low,62,7,0.03356206090624209,-0.26662471752783073,0.2971379849350074,0.021513354834701445,0.463,descriptive,
2000,prior_specificity,E_union,62,7,0.3853159631658962,-0.023420863753837357,0.7107758225613854,0.010149772714620812,0.027,descriptive,
2000,prior_specificity,R_high,62,7,0.02032959705813486,-0.012426144986533801,0.06053528019042103,0.002056229674250664,0.317,descriptive,
2000,prior_specificity,R_low,62,7,-0.00343510855959949,-0.04856779882452794,0.0310868874567292,0.0020121252750905845,0.582,descriptive,
2000,prior_specificity,R_union,62,7,0.016894488498535375,0.0012929390863661782,0.032703376629762915,0.004068354949341246,0.387,descriptive,
2000,prior_specificity,L_high,62,7,0.3314243052015193,0.12573439659943103,0.5628573422532697,-0.013419811794331287,0.026,descriptive,
2000,prior_specificity,L_low,62,7,0.03699716946584159,-0.26715374073825937,0.30401495009781404,0.019501229559610863,0.464,descriptive,
2000,prior_specificity,L_union,62,7,0.3684214746673608,-0.036738911043316246,0.6972195656121497,0.006081417765279571,0.031,descriptive,
2000,prior_forage,E_high,62,7,0.7680958632106566,-0.13681370163574966,2.20921010256295,0.04806998654357727,0.095,descriptive,
2000,prior_forage,E_low,62,7,-0.13289635465582797,-1.6296816188198358,1.0429370799878357,0.011450800944160898,0.559,descriptive,
2000,prior_forage,E_union,62,7,0.6351995085548285,0.05648975889463881,1.2048214600722826,0.059520787487738196,0.124,descriptive,
2000,prior_forage,R_high,62,7,0.02796396737434041,-0.01026030335743724,0.06582276484810398,-0.008437286576430897,0.25,descriptive,
2000,prior_forage,R_low,62,7,-0.01381820662383203,-0.051372618883132215,0.018565170688152676,-0.0005734597700065646,0.612,descriptive,
2000,prior_forage,R_union,62,7,0.014145760750508388,-0.028823317584110227,0.05114312877316639,-0.009010746346437466,0.36,descriptive,
2000,prior_forage,L_high,62,7,0.7401318958363161,-0.15962896106712773,2.1636319284303163,0.056507273120008195,0.109,descriptive,
2000,prior_forage,L_low,62,7,-0.11907814803199568,-1.633548001279545,1.07418200819986,0.012024260714167487,0.547,descriptive,
2000,prior_forage,L_union,62,7,0.6210537478043203,0.06097909774910669,1.196842878204243,0.06853153383417565,0.137,descriptive,
2000,prior_rest,E_high,62,7,-0.6478623373011109,-0.9587602554843067,-0.35287850661639714,0.025167393074931977,0.938,descriptive,
