scale_m,contrast,estimand,events,paired_individuals,individual_equal_difference,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm
2000,forage_dominant_minus_rest_dominant,E_high,52,6,0.2699010816327278,0.12831612831612835,0.40514195187359797,-0.01413324073492792,0.024,descriptive,
2000,forage_dominant_minus_rest_dominant,E_low,52,6,-0.05038771867554737,-0.27815455801509914,0.18489116910334044,-0.026922612920136608,0.565,descriptive,
2000,forage_dominant_minus_rest_dominant,E_union,52,6,0.2195133629571804,-0.12822861728479984,0.5687912087912088,-0.04105585365506452,0.063,descriptive,
2000,forage_dominant_minus_rest_dominant,R_high,52,6,0.015273429533958863,-0.009572373455855562,0.03874663026206155,0.0015864450993397612,0.271,descriptive,
2000,forage_dominant_minus_rest_dominant,R_low,52,6,0.000553519459208094,-0.013469342907277646,0.017191674368961955,0.0005692811618183342,0.505,descriptive,
2000,forage_dominant_minus_rest_dominant,R_union,52,6,0.015826948993166962,-0.014646728412699988,0.043851458505311275,0.002155726261158094,0.292,descriptive,
2000,forage_dominant_minus_rest_dominant,L_high,52,6,0.2546276520987689,0.11756072387651334,0.3987474562474563,-0.015719685834267683,0.027,secondary_forage_minus_rest_L_tails_8,0.216
2000,forage_dominant_minus_rest_dominant,L_low,52,6,-0.05094123813475545,-0.2814799903182445,0.18469146594146593,-0.02749189408195494,0.573,secondary_forage_minus_rest_L_tails_8,1.0
2000,forage_dominant_minus_rest_dominant,L_union,52,6,0.20368641396401344,-0.1479733784852527,0.5561805153910417,-0.043211579916222626,0.067,secondary_forage_minus_rest_L_union_4,0.134
5000,forage_dominant_minus_rest_dominant,E_high,24,4,0.20282449516461143,0.06406308968808966,0.3447595739746903,0.00642959768175099,0.177,descriptive,
5000,forage_dominant_minus_rest_dominant,E_low,24,4,-0.1931850629452374,-0.4159654191630936,0.025447480759980767,-0.04404849486191003,0.766,descriptive,
5000,forage_dominant_minus_rest_dominant,E_union,24,4,0.009639432219374085,-0.3658637427387428,0.38416846799840987,-0.03761889718015903,0.413,descriptive,
5000,forage_dominant_minus_rest_dominant,R_high,24,4,0.03346331926781295,0.010328352203352202,0.07501267061694114,0.014775151843997974,0.308,descriptive,
5000,forage_dominant_minus_rest_dominant,R_low,24,4,-0.028113454188615765,-0.04781687813117866,-0.013704718770508249,0.00948130828040679,0.925,descriptive,
5000,forage_dominant_minus_rest_dominant,R_union,24,4,0.005349865079197184,-0.013122650375939841,0.027828029400894138,0.02425646012440476,0.694,descriptive,
5000,forage_dominant_minus_rest_dominant,L_high,24,4,0.1693611758967985,0.024247382318627497,0.3146540555317834,-0.008345554162246983,0.201,secondary_forage_minus_rest_L_tails_8,0.9550000000000001
5000,forage_dominant_minus_rest_dominant,L_low,24,4,-0.16507160875662158,-0.39395636070058404,0.0501060744810745,-0.0535298031423168,0.72,secondary_forage_minus_rest_L_tails_8,1.0
5000,forage_dominant_minus_rest_dominant,L_union,24,4,0.00428956714017692,-0.3684155500931817,0.3888657110255314,-0.0618753573045638,0.381,secondary_forage_minus_rest_L_union_4,0.381
