segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median,panel,replicate,rho_chl_support,rho_chl_median_log_length
WA_Centurion20182019CRO18811_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18811_GPSdata_RS.xlsx,211.0,211.0,True,1.4344081478157025e-12,1.0,1.0,True,180.3130855760046,180.3130855760046,0.0,1.0,11.0,a-c,,,
WA_Centurion20182019CRO18821_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO18821_GPSdata_RS.xlsx,227.0,227.0,True,1.3737344595199374e-12,2.0,1.0,True,262.7399521148409,262.7399521148409,0.0,1.0,10.0,a-c,,,
WA_Centurion20182019CRO18911_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO18911_GPSdata_RS.xlsx,183.0,183.0,True,1.2482237465860637e-12,0.0,0.0,True,186.6840798347805,186.6840798347805,0.0,1.0,11.0,a-c,,,
WA_Centurion20182019CRO18921_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18921_GPSdata_RS.xlsx,455.0,455.0,True,1.6711076966657856e-12,2.0,2.0,True,784.7806708546718,784.7806708546718,0.0,1.0,7.0,a-c,,,
WA_Centurion20182019CRO19011_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19011_GPSdata_RS.xlsx,339.0,339.0,True,2.149391775674303e-12,3.0,2.0,True,261.4796858246805,261.4796858246805,0.0,1.0,10.0,a-c,,,
WA_Centurion20182019CRO19021_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19021_GPSdata_RS.xlsx,146.0,146.0,True,1.4417356197782285e-12,0.0,0.0,True,233.3328448194232,233.33284481942317,2.8421709430404014e-14,1.0,7.0,a-c,,,
WA_Centurion20182019CRO19711_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19711_GPSdata_RS.xlsx,69.0,69.0,True,1.3944401189291966e-12,0.0,0.0,True,108.29353187110456,108.29353187110456,0.0,2.0,13.0,a-c,,,
WA_Centurion20182019CRO19721_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19721_GPSdata_RS.xlsx,69.0,69.0,True,7.034373084024992e-13,1.0,0.0,True,14.446669007591083,14.446669007591083,0.0,1.0,11.0,a-c,,,
WA_Centurion20182019CRO19731_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19731_GPSdata_RS.xlsx,150.0,150.0,True,1.1590728377086634e-12,1.0,1.0,True,151.3873123071587,151.3873123071587,0.0,1.0,16.0,a-c,,,
WA_Centurion20182019CRO19921_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19921_GPSdata_RS.xlsx,110.0,110.0,True,1.6999734953060397e-12,1.0,0.0,True,40.04656753014888,40.04656753014888,0.0,1.0,8.0,a-c,,,
WA_Centurion20182019CRO19932_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO19932_GPSdata_RS.xlsx,299.0,299.0,True,2.0750068330244176e-12,1.0,0.0,True,31.90375943095273,31.90375943102504,7.23083815046266e-11,1.0,8.0,a-c,,,
WA_Centurion20182019CRO19941_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO19941_GPSdata_RS.xlsx,923.0,923.0,True,1.7685852782278746e-12,4.0,4.0,True,368.68143875983606,368.6814387598861,5.0022208597511047e-11,1.0,4.0,a-c,,,
WA_Centurion20182019CRO20111_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO20111_GPSdata_RS.xlsx,37.0,37.0,True,7.371880883511039e-13,0.0,0.0,True,35.669594167127514,35.669594167127514,0.0,1.0,16.0,a-c,,,
WA_Centurion20182019CRO20121_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO20121_GPSdata_RS.xlsx,39.0,39.0,True,1.4428458428028534e-12,0.0,0.0,True,20.090589926295195,20.090589926295195,0.0,1.0,8.0,a-c,,,
