dataset,scale_m,event_id,n_runs,n_record_runs,decomposition_residual,panel,temporal_identity_residual,frozen_events,geometry_pass,a_chl_eligible,a_decomposition_eligible,b_chl_eligible,rho_tau_distinct_cell,rho_tau_distinct_cell_fraction
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|43,52.0,52.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|44,3.0,2.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|46,6.0,6.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|47,49.0,49.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|48,13.0,13.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|49,24.0,24.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|50,7.0,7.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|52,19.0,18.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|53,13.0,13.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|55,33.0,33.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|57,24.0,24.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|60,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|61,9.0,8.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|62,5.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|63,7.0,7.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|65,6.0,6.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|66,7.0,6.0,5.551115123125783e-17,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|67,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|68,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|72,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|73,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|74,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|75,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|76,48.0,47.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|77,28.0,27.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|79,25.0,25.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|81,8.0,7.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|82,10.0,10.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|83,7.0,6.0,-1.1102230246251565e-16,a-c,,,,,,,,
