actual_pre,actual_post,actual_diff,null_pre_mean,null_post_mean,null_diff_mean,resid_pre,resid_post,resid_diff,p_pre_upper,p_post_upper,p_diff_upper,events,birds,pre_events,post_events,raw_diff_ci_low,raw_diff_ci_high,resid_pre_ci_low,resid_pre_ci_high,resid_post_ci_low,resid_post_ci_high,resid_diff_ci_low,resid_diff_ci_high,delta_m,holm15_direction_p,holm30_pre_p,holm30_post_p,direction_pass,pre_side_pass,post_side_pass,panel,scale_m,predictor,estimand,individuals,individual_equal_slope,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm,coverage_pass,pass,behavior_group,individual_equal_mean,behavior_class,component,tail,observed_unit_equal,phase_p_one_sided,phase_reps,bootstrap_reps,holm_phase_p,coverage_gate,primary_pass,contrast,left,right,paired_birds,left_events,right_events,phase_p_two_sided
0.0592147435897435,0.3724827256077256,0.313267982017982,0.124767583041958,0.1237237058774558,-0.0010438771645021,-0.0655528394522138,0.2487590197302703,0.3143118591824841,0.8822235552889423,0.0001999600079984,0.0001999600079984,87.0,16.0,6.0,25.0,0.1346120025807526,0.5028637508325007,-0.1433432892628201,0.005676188956876,0.105815923389111,0.4059613563779974,0.1329752719832251,0.5076066486742422,2000.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,b_slope,500.0,future_specificity,L_union,7.0,0.2610985425601488,-0.0112930116546365,0.558095338176359,0.0010496980846732,0.042,primary_future_specificity_L_union_4_scales,0.136,True,False,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,b_slope,1000.0,future_specificity,L_union,7.0,0.2892707178307827,-0.0221190936636099,0.6167078944588381,-0.003439793046861,0.034,primary_future_specificity_L_union_4_scales,0.136,True,False,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,b_slope,2000.0,future_specificity,L_union,7.0,0.0978081571588627,-0.2298663974380355,0.3665360537066987,0.0038254285634472,0.313,primary_future_specificity_L_union_4_scales,0.626,True,False,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,b_slope,5000.0,future_specificity,L_union,6.0,0.0880412616511522,-0.4929657736607454,0.9599957592530268,-0.0501198254902074,0.424,primary_future_specificity_L_union_4_scales,0.626,True,False,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,b_group,500.0,,L_union,9.0,,0.2121842046842046,0.5004235150576615,0.0803169052375822,0.003,primary_forage_dominant_L_union_4_scales,0.012,,,forage_dominant,0.3563681926903409,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,b_group,1000.0,,L_union,8.0,,0.1877088254223347,0.4848754036444584,0.0506221574032611,0.005,primary_forage_dominant_L_union_4_scales,0.015,,,forage_dominant,0.3349756538514634,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,b_group,2000.0,,L_union,8.0,,0.1157882625187312,0.4713782423538521,0.0449848346511625,0.009,primary_forage_dominant_L_union_4_scales,0.018,,,forage_dominant,0.293344261175816,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,b_group,5000.0,,L_union,8.0,,-0.0032828025284535,0.3978030687977334,0.046205894113245,0.118,primary_forage_dominant_L_union_4_scales,0.118,,,forage_dominant,0.1989402685181469,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,470.0,90.0,,,,,,,,,,,,,,,,,,c_group,250.0,,L_union,,,0.1139929133602129,0.2276471898750923,0.1392144868519703,,primary_dive_L_union_4_scales,,,,,,dive_near,L,union,0.1703930482855258,0.16,999.0,5000.0,0.32,True,False,,,,,,,
